zona;nome;cod_municipio;municipio;cod_distrito;distrito;popu
373;Taboão;15;Guarulhos;111;Guarulhos;70679 
374;Aeroporto;15;Guarulhos;111;Guarulhos; 
375;Jardim Presidente Dutra;15;Guarulhos;111;Guarulhos;87689 
376;Baquirivu;15;Guarulhos;111;Guarulhos;40452 
377;Água Chata;15;Guarulhos;111;Guarulhos;187611 
378;Pimentas;15;Guarulhos;111;Guarulhos;98639 
379;Cabuçu;15;Guarulhos;111;Guarulhos;60116 
380;Invernada;15;Guarulhos;111;Guarulhos;104648 
381;Morro dos Macacos;15;Guarulhos;111;Guarulhos; 
382;Chácaras Bananal;15;Guarulhos;111;Guarulhos;98771 
383;Estrada de Nazaré Paulista;15;Guarulhos;111;Guarulhos;76801 
384;Água Azul;15;Guarulhos;111;Guarulhos;28884 
385;Vasconcelândia;15;Guarulhos;111;Guarulhos; 
386;Arujazinho;1;Arujá;97;Arujá;3894 
387;Arujá;1;Arujá;97;Arujá;76091 
388;Fazenda Velha;1;Arujá;97;Arujá;6394 
389;Santa Isabel;30;Santa Isabel;126;Santa Isabel;40477 
390;Jaguari;30;Santa Isabel;126;Santa Isabel;13603 
391;Ferraz de Vasconcelos;11;Ferraz de Vasconcelos;107;Ferraz de Vasconcelos;82616 
392;Paiol Velho;11;Ferraz de Vasconcelos;107;Ferraz de Vasconcelos; 
393;Santos Dumont;11;Ferraz de Vasconcelos;107;Ferraz de Vasconcelos;104804
394;Jardim São José;26;Poá;122;Poá;20039
395;Poá;26;Poá;122;Poá;93455
396;Itaquaquecetuba;18;Itaquaquecetuba;114;Itaquaquecetuba;106623
397;Quinta da Boa Vista;18;Itaquaquecetuba;114;Itaquaquecetuba;71598
398;Bonsucesso;18;Itaquaquecetuba;114;Itaquaquecetuba;110433
399;Pinheirinho;18;Itaquaquecetuba;114;Itaquaquecetuba;70563
400;Miguel Badra;37;Suzano;132;Suzano;111948
401;Suzano;37;Suzano;132;Suzano;136108
402;Guaió;37;Suzano;132;Suzano;20755
403;Ouro Fino;37;Suzano;132;Suzano;15737
404;Mogi das Cruzes;23;Mogi das Cruzes;119;Mogi das Cruzes;87648
405;Estudantes;23;Mogi das Cruzes;119;Mogi das Cruzes;33892
406;Vila Oliveira;23;Mogi das Cruzes;119;Mogi das Cruzes;35118 
407;Brás Cubas;23;Mogi das Cruzes;119;Mogi das Cruzes;113997
408;Jundiapeba;23;Mogi das Cruzes;119;Mogi das Cruzes;47561
409;Jardim Graziella;23;Mogi das Cruzes;119;Mogi das Cruzes;16794
410;Itapeti;23;Mogi das Cruzes;119;Mogi das Cruzes;9392
411;Sabaúna;23;Mogi das Cruzes;119;Mogi das Cruzes;15365
412;César de Souza;23;Mogi das Cruzes;119;Mogi das Cruzes;36330
413;Taiaçupeba;23;Mogi das Cruzes;119;Mogi das Cruzes;26705
414;BiritibaMirim;3;Biritiba-Mirim;99;Biritiba-Mirim;31477
415;Salesópolis;29;Salesópolis;125;Salesópolis;16559
416;Guararema;14;Guararema;110;Guararema;28601
417;Santa Paula;34;São Caetano do Sul;130;São Caetano do Sul;43769 
418;Vila Gerti;34;São Caetano do Sul;130;São Caetano do Sul;50488 
419;Estrada das Lágrimas;34;São Caetano do Sul;130;São Caetano do Sul;37411
420;Santo Antônio;34;São Caetano do Sul;130;São Caetano do Sul;4460
421;São Caetano do Sul;34;São Caetano do Sul;130;São Caetano do Sul;14828
422;Santo André;32;Santo André;128;Santo André;55759 
423;Vila Gilda;32;Santo André;128;Santo André;31451
424;Valparaíso;32;Santo André;128;Santo André;23802
425;Sacadura Cabral;32;Santo André;128;Santo André;26843
426;Campestre;32;Santo André;128;Santo André;19642 
427;Utinga;32;Santo André;128;Santo André;41926 
428;Vila Lucinda;32;Santo André;128;Santo André;51991
429;Parque Oratório;32;Santo André;128;Santo André;59712
430;Parque das Nações;32;Santo André;128;Santo André;40870
431;Jardim do Estádio;32;Santo André;128;Santo André;105758 
432;Carijós;32;Santo André;128;Santo André;111442
433;Parque do Pedroso;32;Santo André;128;Santo André;117905
434;Paranapiacaba;32;Santo André;128;Santo André;3039
435;Capuava;22;Mauá;118;Mauá;34164
436;Mauá;22;Mauá;118;Mauá;127883
437;Jardim Zaíra;22;Mauá;118;Mauá;167856
438;Barão de Mauá;22;Mauá;118;Mauá;95761
439;Estrada do Carneiro;22;Mauá;118;Mauá;25272
440;Ribeirão Pires;27;Ribeirão Pires;123;Ribeirão Pires;81235
441;Jardim Santa Luzia;27;Ribeirão Pires;123;Ribeirão Pires;22824
